TYPE,STATION_NAME,BODY_LEVEL,SAMPLE_DATE,PERIOD,TIME,STATION_ID,CHL_a,CHL_a NetCDF (μg/L),albedo_01,albedo_02,albedo_03,albedo_04,2km_albedo_01,2km_albedo_02,2km_albedo_03,2km_albedo_04
花蓮沿海海域,豐濱溪河口,甲,3/9/2020,上午,0:00:00,5157,1.5,none,0.26949998699999900000,0.27009999800000000000,0.26510000200000000000,0.33039998999999900000,0.20989999175071700000,0.19859999418258600000,0.19299998879432600000,0.22190000116825100000
花蓮沿海海域,秀姑巒溪河口,甲,3/9/2020,上午,0:00:00,5158,0.6,0.188000008,0.11069999599999900000,0.08839999900000000000,0.06430000099999990000,0.04809999799999990000,0.17919999361038200000,0.16679999232292100000,0.15079998970031700000,0.18699999153614000000
南灣核三廠沿海海域,核三廠出水口右側,乙,3/10/2020,上午,0:00:00,5200,0.1,none,0.10269999500000000000,0.08280000099999990000,0.05260000000000000000,0.05869999900000000000,0.10629999637603700000,0.08540000021457670000,0.05319999903440470000,0.04050000011920920000
南灣核三廠沿海海域,核三廠出水口左側,乙,3/10/2020,上午,0:00:00,5201,0.1,none,0.10269999500000000000,0.08280000099999990000,0.05260000000000000000,0.05869999900000000000,0.10529999434947900000,0.08469999581575390000,0.05359999835491180000,0.04470000043511390000
南灣核三廠沿海海域,核三廠入水口,乙,3/10/2020,上午,0:00:00,5202,0.2,none,0.10269999500000000000,0.08280000099999990000,0.05260000000000000000,0.05869999900000000000,0.10379999876022300000,0.08469999581575390000,0.05649999901652330000,0.10279999673366500000
南灣核三廠沿海海域,後壁湖漁港,乙,3/10/2020,上午,0:00:00,5203,0.6,none,0.10269999500000000000,0.08280000099999990000,0.05260000000000000000,0.05869999900000000000,0.10269999504089300000,0.08280000090599060000,0.05260000005364410000,0.05869999900460240000
南灣核三廠沿海海域,南灣,乙,3/10/2020,上午,0:00:00,5204,0.3,none,0.10269999500000000000,0.08280000099999990000,0.05260000000000000000,0.05869999900000000000,0.11009999364614400000,0.09109999984502790000,0.06250000000000000000,0.08379999548196790000
南灣核三廠沿海海域,石牛溪口,乙,3/10/2020,上午,0:00:00,5205,0.2,none,0.10439999399999900000,0.08500000100000000000,0.05709999799999990000,0.11099999400000000000,0.11009999364614400000,0.09109999984502790000,0.06250000000000000000,0.08379999548196790000
新竹香山沿海海域,頭前溪口南側,乙,3/12/2020,上午,0:00:00,5142,0.6,none,0.38400000299999900000,0.36109998799999900000,0.36769998100000000000,0.39269998699999900000,0.33049997687339700000,0.31139999628067000000,0.30679997801780700000,0.31619998812675400000
新竹香山沿海海域,客雅溪河口外4海浬處,乙,3/12/2020,上午,0:00:00,5144,0.7,none,0.38400000299999900000,0.37180000499999900000,0.36939999499999900000,0.40889999300000000000,0.40579998493194500000,0.38909998536109900000,0.39159998297691300000,0.42509999871253900000
新竹香山沿海海域,鳳山溪北側,乙,3/12/2020,上午,0:00:00,5143,0.5,none,0.38130000200000000000,0.37070000199999900000,0.35679999000000000000,0.39749997900000000000,0.37759998440742400000,0.36300000548362700000,0.35760000348091100000,0.38909998536109900000
新竹香山沿海海域,紅毛港外,乙,3/12/2020,上午,0:00:00,5145,0.8,none,0.35949999100000000000,0.34079998700000000000,0.33649998899999900000,0.36120000499999900000,0.33640000224113400000,0.32119998335838300000,0.30779999494552600000,0.32919999957084600000
新竹香山沿海海域,中港溪口一,乙,3/12/2020,上午,0:00:00,5159,0.7,none,0.38189998299999900000,0.36589998000000000000,0.36609998300000000000,0.38819998500000000000,0.38189998269081100000,0.36589998006820600000,0.36609998345375000000,0.38819998502731300000
新竹香山沿海海域,中港溪口二,乙,3/12/2020,上午,0:00:00,5160,1.2,none,0.38189998299999900000,0.36589998000000000000,0.36609998300000000000,0.38819998500000000000,0.38189998269081100000,0.36589998006820600000,0.36609998345375000000,0.38819998502731300000
新竹香山沿海海域,通霄溪口,乙,3/12/2020,上午,0:00:00,5161,2.5,none,0.30660000399999900000,0.29530000699999900000,0.29209998300000000000,0.34209999400000000000,0.30660000443458500000,0.29530000686645500000,0.29209998250007600000,0.34209999442100500000
臺中港沿海海域,大安溪口,乙,3/12/2020,上午,0:00:00,5162,3.2,none,0.23330000000000000000,0.21169999200000000000,0.19689999499999900000,0.19169999700000000000,0.26510000228881800000,0.24319998919963800000,0.23600000143051100000,0.25389999151229800000
臺中港沿海海域,臺中港沿海一,乙,3/12/2020,上午,0:00:00,5163,2.6,none,0.20719999100000000000,0.18369999500000000000,0.16779999400000000000,0.15619999200000000000,0.25569999217987000000,0.23109999299049300000,0.21269999444484700000,0.21979999542236300000
