albedo_01,albedo_02,albedo_03,albedo_04,CHL_a
0.0002999999851454,9.99999974737e-05,9.99999974737e-05,0.0,0.2
0.0,0.0002999999851454,9.99999974737e-05,0.0,0.3
0.0,0.0,0.0001999999949475,0.0,0.3
0.0201999992132186,0.0171999987214803,0.0120000001043081,0.0137999998405575,0.2
0.0,9.99999974737e-05,0.0,9.99999974737e-05,0.3
9.99999974737e-05,0.0003999999898951,0.0,0.0003999999898951,0.3
0.0,0.0,0.0,9.99999974737e-05,0.7
0.0,0.0002999999851454,9.99999974737e-05,0.0,0.3
9.99999974737e-05,0.0,0.000499999965541,0.0,0.8
0.0,0.0,9.99999974737e-05,0.0003999999898951,0.6
9.99999974737e-05,0.0,0.0,0.0003999999898951,0.8
9.99999974737e-05,0.0,9.99999974737e-05,0.0009999999310821,0.7
0.0,9.99999974737e-05,0.0,0.0,0.8
0.0002999999851454,0.0002999999851454,0.0,0.0,0.9
0.129899993538856,0.12389999628067,0.108599998056888,0.137500002980232,0.7
0.245999991893768,0.236800000071525,0.233099997043609,0.248199999332427,1
0.344099998474121,0.328999996185302,0.330899983644485,0.356999993324279,1
0.40320000052452,0.393399983644485,0.387299984693527,0.415799975395202,0.8
0.426699995994567,0.410799980163574,0.415899991989135,0.44209998846054,0.9
0.578999996185302,0.569599986076354,0.573599994182586,0.621399998664855,0.8
0.0003999999898951,0.0,0.0,0.0,1.4
0.0,0.0003999999898951,9.99999974737e-05,0.0,0.5
0.0,0.0,0.0003999999898951,9.99999974737e-05,0.5
0.0002999999851454,0.0005999999702908,0.0003999999898951,0.0,1.3
9.99999974737e-05,0.0,0.0,0.0,0.9
0.0003999999898951,0.0,0.0,0.0,0.5
0.0220999997109174,0.0187999997287988,0.0131000000983476,0.0116999996826052,0.2
0.0789999961853027,0.067900002002716,0.0507999993860721,0.0561999976634979,0.7
0.0685999989509582,0.0600999966263771,0.0421999990940093,0.0273000001907348,0.5
0.0394000001251697,0.0331999994814395,0.0230999998748302,0.0203999988734722,0.5
9.99999974737e-05,0.0003999999898951,0.0,0.0,0.3
0.0,9.99999974737e-05,0.0001999999949475,0.0,0.3
9.99999974737e-05,0.0,0.0005999999702908,0.00089999998454,0.5
0.0,0.0,0.0,0.0,0.2
0.0003999999898951,0.0,0.0,0.0006999999750405,0.9
0.0,0.0,0.000499999965541,0.0006999999750405,0.5
0.0006999999750405,0.0,0.0002999999851454,0.0005999999702908,0.9
0.307500004768371,0.294400006532669,0.283199995756149,0.300799995660781,0.4
0.334899991750717,0.316699981689453,0.314300000667572,0.329899996519088,0.5
0.106100000441074,0.102899998426437,0.089999996125698,0.116799995303153,0.3
0.0087000001221895,0.007999999448657,0.0055999998003244,0.0041000000201165,0.4
0.0,9.99999974737e-05,0.0001999999949475,0.0002999999851454,0.7
9.99999974737e-05,0.0,0.0,0.0,0.9
0.0009999999310821,0.00089999998454,0.0006999999750405,0.0013999999500811,0.6
0.0806000009179115,0.0727999955415725,0.0641999989748001,0.0707999989390373,0.7
0.0824999958276748,0.0665999948978424,0.0586999990046024,0.0517999976873397,0.5
0.0002999999851454,0.0,0.000499999965541,0.0002999999851454,0.3
0.0,0.0,9.99999974737e-05,0.0,0.3
9.99999974737e-05,0.0002999999851454,0.0005999999702908,0.00089999998454,0.3
0.0160999987274408,0.012699999846518,0.0100999996066093,0.0132999997586011,0.3
0.0006999999750405,0.0015999999595806,0.0006999999750405,0.0,0.3
0.247999995946884,0.240799993276596,0.242599993944168,0.283199995756149,0.2
0.0707999989390373,0.059299997985363,0.0430999994277954,0.0427999980747699,0.2
0.0002999999851454,9.99999974737e-05,0.0005999999702908,0.0003999999898951,0.4
0.0002999999851454,0.0002999999851454,9.99999974737e-05,0.0,0.3
0.0700999945402145,0.063400000333786,0.0559000000357627,0.0639000013470649,0.3
9.99999974737e-05,0.0003999999898951,0.0,0.0002999999851454,0.3
